Var1,Var2,Correlation
DYSD,DYSN,0.9999999995255486
DYSN,DYSD,0.9999999995255486
DYSD,DYNT,0.9999999989427621
DYNT,DYSD,0.9999999989427621
DYSD,DYXP,0.99999999886134
DYXP,DYSD,0.99999999886134
DYNT,DYSN,0.9999999987162651
DYSN,DYNT,0.9999999987162651
DYSN,DYXP,0.9999999986185243
DYXP,DYSN,0.9999999986185243
DYXT,DYSD,0.999999998608907
DYSD,DYXT,0.999999998608907
DYNT,DYXP,0.9999999983990476
DYXP,DYNT,0.9999999983990476
DYSN,DYXT,0.9999999983138639
DYXT,DYSN,0.9999999983138639
DYXP,DYXT,0.9999999982607238
DYXT,DYXP,0.9999999982607238
DYXT,DYNT,0.9999999977273558
DYNT,DYXT,0.9999999977273558
TAVG,TMIN,0.9958388631689826
TMIN,TAVG,0.9958388631689826
TMAX,TAVG,0.9957166802076356
TAVG,TMAX,0.9957166802076356
TMAX,TMIN,0.9831480563350056
TMIN,TMAX,0.9831480563350056
DX70,TMAX,0.9742008143444325
TMAX,DX70,0.9742008143444325
EMNT,TMIN,0.9730590375556412
TMIN,EMNT,0.9730590375556412
TAVG,DX70,0.9719292301007065
DX70,TAVG,0.9719292301007065
EMNT,TAVG,0.9663297575794743
TAVG,EMNT,0.9663297575794743
EMSN,SNOW,0.9618893139269769
SNOW,EMSN,0.9618893139269769
DX70,TMIN,0.9615278290843463
TMIN,DX70,0.9615278290843463
HTDD,DT32,0.9588816144590417
DT32,HTDD,0.9588816144590417
EMNT,TMAX,0.9513057030338701
TMAX,EMNT,0.9513057030338701
EMXT,TMAX,0.9487441295971545
TMAX,EMXT,0.9487441295971545
TAVG,EMXT,0.939587278867783
EMXT,TAVG,0.939587278867783
DX70,EMXT,0.9230075883052051
EMXT,DX70,0.9230075883052051
TMIN,EMXT,0.9226690419813559
EMXT,TMIN,0.9226690419813559
DX70,EMNT,0.9207667990857731
EMNT,DX70,0.9207667990857731
SNOW,EMSD,0.9190339419036244
EMSD,SNOW,0.9190339419036244
EMSD,EMSN,0.9171651807281226
EMSN,EMSD,0.9171651807281226
DX90,CLDD,0.9144048167584793
CLDD,DX90,0.9144048167584793
CLDD,EMNT,0.9074275103612521
EMNT,CLDD,0.9074275103612521
TMIN,CLDD,0.9033497098352653
CLDD,TMIN,0.9033497098352653
TAVG,CLDD,0.8903969583287409
CLDD,TAVG,0.8903969583287409
EMXT,EMNT,0.8776024884943655
EMNT,EMXT,0.8776024884943655
TMAX,CLDD,0.8697000455841754
CLDD,TMAX,0.8697000455841754
SNOW,DSNW,0.8688082952168307
DSNW,SNOW,0.8688082952168307
DSND,EMSD,0.8613712529822573
EMSD,DSND,0.8613712529822573
SNOW,DSND,0.8604722204458326
DSND,SNOW,0.8604722204458326
CLDD,DX70,0.8208969291069407
DX70,CLDD,0.8208969291069407
CLDD,EMXT,0.8201298348396874
EMXT,CLDD,0.8201298348396874
EMSN,DSNW,0.809099156447289
DSNW,EMSN,0.809099156447289
EMSN,DSND,0.8063748519282212
DSND,EMSN,0.8063748519282212
DSNW,DSND,0.8050730160819382
DSND,DSNW,0.8050730160819382
DP1X,PRCP,0.80167598108772
PRCP,DP1X,0.80167598108772
DP10,DP01,0.7978697481677152
DP01,DP10,0.7978697481677152
PRCP,EMXP,0.774264884629557
EMXP,PRCP,0.774264884629557
DSNW,EMSD,0.7593799635458125
EMSD,DSNW,0.7593799635458125
EMNT,DX90,0.7532420012274484
DX90,EMNT,0.7532420012274484
CDSD,HDSD,-0.8066994932831375
HDSD,CDSD,-0.8066994932831375
EMNT,DT32,-0.8193084187293093
DT32,EMNT,-0.8193084187293093
EMXT,DT32,-0.8484775405143681
DT32,EMXT,-0.8484775405143681
TMIN,DT32,-0.8703310195720864
DT32,TMIN,-0.8703310195720864
DX70,DT32,-0.8785521950714352
DT32,DX70,-0.8785521950714352
DT32,TAVG,-0.8863801406688909
TAVG,DT32,-0.8863801406688909
TMAX,DT32,-0.8951104572006342
DT32,TMAX,-0.8951104572006342
HTDD,EMNT,-0.9083091375623692
EMNT,HTDD,-0.9083091375623692
HTDD,EMXT,-0.9173527178989749
EMXT,HTDD,-0.9173527178989749
TMIN,HTDD,-0.9526704523153057
HTDD,TMIN,-0.9526704523153057
DX70,HTDD,-0.9632575583281685
HTDD,DX70,-0.9632575583281685
HTDD,TAVG,-0.9662376665305303
TAVG,HTDD,-0.9662376665305303
TMAX,HTDD,-0.9717759631502068
HTDD,TMAX,-0.9717759631502068
